X,Y,Catchment,Total Powe,Transmissi,Transmis_1,Turbine Di,Transmis_2,Full Suppl,Powerhouse,Dam Type,Reservoir,Estimated,Total Leng,Reservoi_1,Reservoi_2,Reservoi_3,Run-of-Riv,Township,Myanmar Se,% use MYA,Export (MW,Height (m),Qmin/ MAF,Crest Leng,Distance a,Plant Fact,Installed,Financiers,GIS Rainfa,Max reserv,Unit Flow,District,Mean annua,Developers,Sub-Basin,Status (la,State/Regi,Basin,Annual Run,Catchmen_1,Sub-Basi_1,Mean ann_1,Installe_1,Total stor,Notes,River,Function,Country,Location_L,Location_1,Status,Project Na,COD Year,Project ID,icon_url
97.437368,20.062121,1100.00000,"65",,,4.60000,,"570",,,,"600",0.20000,,,,,,"150",1.000000000000000,0,"10",0.210000000000000,,17.80000,"0.6","150",Foreign JV/BOT,"1446",,19.800000000000001,Hpi Hseng,66.400000000000006,TEI/HCTC,Nam Pawn,MOU,Shan,Thanlwin,2094.00000,"3352",Nam Pawn,"782","150","7",,Nam Pawn,HP,SIN/MYA,97.437368000000006,20.062121000000001,Proposed,Nam Pawn (upper),"2020",DAM0051,./0.png
97.713906,25.090722,2500.00000,"113",,,19.30000,,"316",Above ground,CG,2.20000,"600",0.60000,"0","14","0",RoR,Waingmaw,,,,"56",0.070000000000000,,6.00000,"0.54","141",Foreign JV/BOT,"1910",,70.799999999999997,Myitkyina,79.400000000000006,China Guodian/Tun Thwin Mining),Namtabak,MOA,Kachin,Ayeyarwady,2504.00000,"1121",Namtabak,"684","141","15",,Namtamhpak,HP,PRC/MYA,97.713905999999994,25.090722000000000,Proposed,Nam Tabak I,"2027",DAM0156,./0.png
97.319365,22.720943,,"113",,,4.10000,,"492",,CG,,"400",4.00000,,,"0",,Hsipaw,"100",1.000000000000000,0,"114",0.210000000000000,,,"0.72","100",Local BOT,"1628",,19.000000000000000,Kyaukme,129.599999999999994,NCEH,Upper Myitnge,LocMoU,Shan,Ayeyarwady,4087.00000,"6832",Myitnge,"635","100",,,Myitnge Upper,HP,Myanmar,97.319365000000005,22.720942999999998,Proposed,Nam Tu,"2021",DAM0053,./0.png
96.450483,19.7412,1650.00000,"46","0","230",14.30000,Upper Paunglaung,"295",Above ground,,0.30000,,3.00000,"4","5","2",RoR,Pyinmana,"40",1.000000000000000,0,"72",0.170000000000000,,5.20000,"0.43","40",Sole Investment,"1269",,22.300000000000001,Det Khi Na,18.300000000000001,MoEE,Paung Laung,Built,Naypyitaw,Sittaung,577.00000,"821",Paung Laung,"152","40","9",,Sin The Chaung,HP,Myanmar,96.450483000000006,19.741199999999999,Complete,Nancho,"2013",DAM0054,./0.png
98.499151,22.987464,,,,,,,"445",,RCC Gravity Dam,23.80000,"4600",110.00000,"277","580","1",RoR,Tangyan,"600",0.500000000000000,600,"90",0.270000000000000,265.000000000000000,0.00000,"0.59","1200",Foreign JV/BOT,,,15.900000000000000,Lashio,2250.000000000000000,HydroChina/IGOEC,Upper Thanlwin,MOA,Shan,Thanlwin,70956.00000,"141127",Thanlwin Mainstem,"6182","1200","857",Location: http://www.burmariversnetwork.org/index.php?option=com_content&view=article&id=981&Itemid=392,Thanlwin Mainstem,HP,PRC/MYA,98.499150999999998,22.987463999999999,Proposed,Naopha,"2026",DAM0055,./0.png
96.335,19.785,1650.00000,"310","13","230",17.40000,Pyinmana,"225",,RCC,17.00000,,16.00000,"350","340","32",S,Pyinmana,"280",1.000000000000000,0,"131",0.140000000000000,,0.00000,"0.37","280",Sole Investment,"1269",,29.199999999999999,Det Khi Na,128.000000000000000,MoEE/MOALI,Paung Laung,Built,Naypyitaw,Sittaung,4037.00000,"4381",Paung Laung,"911","280","690",,Paung Laung Chaung,MP,Myanmar,96.334999999999994,19.785000000000000,Complete,Paung Laung (lower),"2005",DAM0056,./0.png
96.508,19.86,1800.00000,"100","8","230",8.10000,Bluchaung2-Shwemyo In/out,"284",,RCC,9.60000,"400",10.00000,"214","215","29",S,Pyinmana,"100",1.000000000000000,0,"110",0.150000000000000,,0.00000,"0.39","100",Foreign JV/BOT,"1269",,31.100000000000001,Nay Pyi Taw,84.599999999999994,Energized Myanmar,Paung Laung,MOU,Mandalay,Sittaung,2668.00000,"2722",Paung Laung,"342","100","429",,Paung Laung Chaung,HP,SIN,96.507999999999996,19.859999999999999,Proposed,Paung Laung (middle),"2021",DAM0057,./0.png
96.598,19.756,1710.00000,"200","27","230",17.40000,Nancho,"370",Above ground,RCC,61.00000,,50.00000,"860","426","121",S,Pyinmana,"140",1.000000000000000,0,"98",0.140000000000000,,0.00000,"0.37","140",Sole Investment,"1269",,32.000000000000000,Nay Pyi Taw,82.400000000000006,MoEE,Paung Laung,Built,Mandalay,Sittaung,2599.00000,"2572",Paung Laung,"454","140","1286",,Paung Laung Chaung,HP,Myanmar,96.597999999999999,19.756000000000000,Complete,Paung Laung (upper),"2015",DAM0058,./0.png
97.456152,20.209251,1100.00000,"65",,,4.90000,,"900",Underground,,,"400",1.00000,,,,,,"105",1.000000000000000,0,"20",0.210000000000000,,10.30000,"0.61","105",Foreign JV/BOT,"1446",,19.699999999999999,Hpi Hseng,62.000000000000000,TEI/HCTC,Nam Pawn,MOU,Shan,Thanlwin,1955.00000,"3151",Nam Pawn,"557","105","20",,Nam Pawn,HP,SIN/MYA,97.456152000000003,20.209250999999998,Proposed,Hpak Nam,"62",DAM0261,./0.png
97.43497,20.118443,1100.00000,"65",,,4.70000,,"665",,,,"200",1.00000,,,,,,"45",1.000000000000000,0,"10",0.210000000000000,,6.00000,"0.67","45",Foreign JV/BOT,"1446",,19.800000000000001,Hpi Hseng,64.599999999999994,TEI/HCTC,Nam Pawn,MOU,Shan,Thanlwin,2037.00000,"3265",Nam Pawn,"265","45","4",,Nam Pawn,HP,SIN/MYA,97.434970000000007,20.118442999999999,Proposed,Hpi Hseng,"2020",DAM0060,./0.png
96.351028,18.506214,2540.00000,,"8","230",,Taungoo-Tharyargone In/out,"162",Above ground,Rockfill,24.00000,,27.00000,"727","52","233",S,Phyu,"40",1.000000000000000,0,"75",0.100000000000000,,0.00000,"0.34","40",Sole Investment,"2081",,33.100000000000001,Taungoo,36.200000000000003,MoEE/MOALI,Other Sittaung,Built,Bago,Sittaung,1142.00000,"1093",Other Sittaung,"120","40","780",,Pyu Chaung,MP,Myanmar,96.351027999999999,18.506214000000000,Complete,Phyu Chaung,"2015",DAM0061,./0.png
98.090192,27.525941,,"1082",,,16.10000,,"1010",Ground,CFRD,9.20000,"4600",56.00000,"578","605","6",S,Khawbude,,,,"159",0.100000000000000,,0.00000,"0.7","1200",Foreign JV/BOT,"1540",,96.200000000000003,Puta-O,1070.000000000000000,CPI,Nmae Hka,MOA,Kachin,Ayeyarwady,33744.00000,"11123",Ayeyarwady Headwaters,"7330","1200","1183",,N'Mai  Hka,HP,PRC,98.090192000000002,27.525941000000000,Proposed,Renan,"2030",DAM0062,./0.png
96.326937,22.348646,,,"212","132",,Kyaukpahto,"129",Above ground,Rockfill,40.50000,,16.10000,"344","104","30",S,Mandalay,"25",1.000000000000000,0,"41",0.150000000000000,,0.00000,"0.61","25",Sole Investment,"1802",,38.399999999999999,Pyinoolwin,131.599999999999994,MoEE,Ma Gyi Chaung,Built,Mandalay,Ayeyarwady,4150.00000,"3424",Ma Gyi Chaung,"134","25","448",,Ma Gyi Chaung,MP,Myanmar,96.326937000000001,22.348645999999999,Complete,Sedawgyi,"1989",DAM0184,./0.png
96.20626,22.74764,889.00000,,"0","132",,Kyaukpahto/Aungpinle,,,,24.00000,"300",,"481","112","55",S,Mandalay,"64",1.000000000000000,0,"73",0.160000000000000,,0.00000,"-","64",Sole Investment,"1802",,38.299999999999997,Kyaukme,101.000000000000000,MOALI,Ma Gyi Chaung,GOM Plan,Shan,Ayeyarwady,3185.00000,"2640",Ma Gyi Chaung,,"64","593",,Ma Gyi Chaung,MP,Myanmar,96.206260000000000,22.747640000000001,Proposed,Sedawgyi (upper),,DAM0064,./0.png
96.935001,17.970227,3700.00000,"207","41","230",51.90000,Tharyargone,"84",Above ground,Rockfill,58.40000,,35.00000,"1450","630","427",S,Shwegyin,"75",1.000000000000000,0,"57",0.100000000000000,,0.00000,"0.4","75",Sole Investment,"2081",,44.799999999999997,Bago,39.299999999999997,MoEE,Other Sittaung,Built,Bago,Sittaung,1239.00000,"878",Other Sittaung,"262","75","2080",,Shwegyin River,HP,Myanmar,96.935001000000000,17.970227000000001,Complete,Shwegyin,"2011",DAM0065,./0.png
97.506,23.698,1418.00000,"230","96","230",2.00000,Mansan,"745",Above ground,CG,1.10000,,10.50000,,,,,Manthet Village,"400",0.670000000000000,200,"47",0.290000000000000,177.000000000000000,9.50000,"0.77","600",Foreign JV/BOT,"1533",,31.800000000000001,Muse,400.000000000000000,YUPD,Shweli,Built,Shan,Ayeyarwady,12614.00000,"12597",Shweli,"4022","600","24.11",Google Earth visible.,Shweli,HP,PRC,97.506000000000000,23.698000000000000,Complete,Shweli 1,"2009",DAM0066,./0.png
97.31235,23.6531,1418.00000,"526","70","230",5.20000,Shweli3,"395",Bankside,CFRD,27.90000,"2100",20.00000,"42","30","1",RoR,Namkham,"260",0.500000000000000,260,"92",0.250000000000000,,0.00000,"0.62","520",Foreign JV/BOT,"1533",,30.500000000000000,Muse,405.199999999999989,HIE/AWC,Shweli,MOA,Shan,Ayeyarwady,12778.00000,"13265",Shweli,"2814","520","72",,Shweli,HP,PRC/MYA,97.312349999999995,23.653099999999998,Proposed,Shweli 2,"2021",DAM0067,./0.png
96.769,23.315,1418.00000,"1200","420","500",10.50000,Meikhtila,"235",Above ground,RCC,118.00000,,65.00000,"3610","1854","92",S,Namkham,"1050",1.000000000000000,0,"122",0.250000000000000,,0.00000,"0.37","1050",Foreign JV/BOT,"1533",,30.500000000000000,Kyaukme,452.000000000000000,EDF SA,Shweli,Construction,Shan,Ayeyarwady,14254.00000,"14810",Shweli,"3400","1050","5464",,Shweli,HP,France,96.769000000000005,23.315000000000001,UC,Shweli 3,"2020",DAM0068,./0.png
100.176054,21.359543,,,,,,,,,,40.90000,"1000",72.00000,"714","624","46",S,Moemeik,"120",0.500000000000000,120,"-",0.200000000000000,,,"-","240",Foreign JV/BOT,"1381",,24.300000000000001,Monghpyak,178.000000000000000,YNIC,Nam Lwe,MOU,Shan,Mekong,5613.00000,"7315",Nam Lwe,,"240","1338",,Nam Lwe,HP,PRC,100.176053999999993,21.359542999999999,Proposed,Suo Lwe,"2025",DAM0069,./0.png
98.94,12.777,2930.00000,,"32","230",,Dawei,,,,585.00000,"2400",,"8615","18471","212",S,Tanintharyi,,,,"-",0.120000000000000,,0.00000,"0.66","600",Foreign JV/BOT,"2123",,47.600000000000001,Tenasserim,470.000000000000000,Italian-Thai,Tanintharyi,Suspended,Tanintharyi,Tanintharyi,14822.00000,"9870",Tanintharyi,"3476","600","27086",,Taninthayi,HP,Thailand,98.939999999999998,12.776999999999999,Proposed,Taninthayi,,DAM0070,./0.png
94.381,18.64,,"200","9","230",0.00000,Oakshitpin-Toungup In/out,"81",Semi-Underground,Zone type/Rockfill,,,32.00000,,,,"-",Thandwe,"111",1.000000000000000,0,"91",,,0.00000,"0.4","111",Sole Investment,"2545",,,Thandwe,,MoEE,Thahtay,Construction,Rakhine,Rakhine,0.00000,"1293",Thahtay,"386","111",,,Thahtay,HP,Myanmar,94.381000000000000,18.640000000000001,UC,Thahtay,"2020",DAM0071,./0.png
95.35833,23.305918,,,"53","132",,Ngapyadaing,"159",Above ground,Earth,397.10000,,42.80000,"3072","481","170",S,Kyun Hla,"30",1.000000000000000,0,"33",0.090000000000000,,0.00000,"0.45","30",Sole Investment,"1260",,22.399999999999999,Shwebo,209.000000000000000,MoEE/MOALI,Mu,Built,Sagaing,Ayeyarwady,6591.00000,"9338",Mu,"117","30","3552",,Mu River,MP,Myanmar,95.358329999999995,23.305917999999998,Complete,Thapanzeik,"2002",DAM0205,./0.png
96.619907,18.914102,2692.00000,,"23","230",,Taungoo,,,Earth,13.80000,,22.00000,"148","296","34",S,Tangoo,"120",1.000000000000000,0,"94",0.110000000000000,,0.00000,"0.57","120",Local BOT,"2081",,23.199999999999999,Hpa-An,50.500000000000000,Gold Energy,Other Sittaung,Built,Kayin,Sittaung,1593.00000,"2175",Other Sittaung,"604","120","444",,Thauk Ye Khat,HP,Myanmar,96.619906999999998,18.914102000000000,Complete,Thauk Ye Khat 2,"2014",DAM0073,./0.png
98.360249,25.963646,3268.00000,"146","130","500",3.30000,Winemaw,"1075",Bankside,CG,8.80000,"1400",4.00000,"4","2","0",RoR,Myitkyina,"170",0.500000000000000,170,"63",0.320000000000000,,13.00000,"0.57","340",Foreign JV/BOT,"1540",,77.500000000000000,Myitkyina,135.099999999999994,YEIG/IGOEC,Naw Chang  Hka,JVA,Kachin,Ayeyarwady,4262.00000,"1743",Ayeyarwady Headwaters,"1695","340","5",,Naw Chang  Hka,HP,PRC/MYA,98.360248999999996,25.963646000000001,Proposed,Tongxinqiao,"2026",DAM0212,./0.png
98.292511,26.403585,,"1718",,,8.40000,,"525",,CFRD,6.30000,"6500",29.00000,"150","455","1",RoR,Myitkyina,,,,"165",0.110000000000000,,0.00000,"0.85","1800",Foreign JV/BOT,"1540",,104.799999999999997,Myitkyina,1910.000000000000000,CPI,Nmae Hka,MOA,Kachin,Ayeyarwady,60234.00000,"18225",Ayeyarwady Headwaters,"13410","1800","605",,N'Mai  Hka,HP,PRC,98.292511000000005,26.403585000000000,Proposed,Wutsok,"2030",DAM0075,./0.png
96.446152,18.085211,,,"27","33",,Tharyargone,"103",,Earth,76.70000,,36.00000,,"149","0",RoR,Kyauktaga,"25",1.000000000000000,0,"77",0.070000000000000,,0.00000,"0.56","25",Sole Investment,"2081",,49.299999999999997,Bago,39.100000000000001,MoEE/MOALI,Other Sittaung,Built,Bago,Sittaung,1233.00000,"793",Other Sittaung,"123","25","149",,Ye Nwe Chaung,MP,Myanmar,96.446151999999998,18.085211000000001,Complete,Yenwe,"2007",DAM0076,./0.png
96.474077,21.675196,838.00000,"840","0","230",5.30000,"Belin, Meiktila","185",Above ground,RCC,59.00000,,75.00000,"1630","1000","39",S,Kyaukse,"790",1.000000000000000,0,"132",0.330000000000000,690.000000000000000,0.00000,"0.51","790",Sole Investment,"1600",59.57000,17.100000000000001,Pyinoolwin,483.000000000000000,MoEE,Lower Myitnge,Built,Mandalay,Ayeyarwady,15232.00000,"28206",Myitnge,"3550","790","2630",Google Earth visible.,Lower Myitnge,HP,Myanmar,96.474076999999994,21.675196000000000,Complete,Yeywa,"2010",DAM0077,./0.png
96.87313,21.96024,1300.00000,"592","0",TBD,4.50000,500kV Meilhtila S/S,"320",Underground,RCC/Arch dam,11.00000,"2800",70.00000,"196","258","6",S,Nawng Khio,"700",1.000000000000000,0,"160",0.320000000000000,,0.00000,"0.53","700",Foreign JV/BOT,"1608",,16.199999999999999,Kyaukme,412.000000000000000,SN Power,Lower Myitnge,MOU,Shan,Ayeyarwady,12993.00000,"25490",Myitnge,"3253","700","454",,Lower Myitnge,HP,Norway,96.873130000000003,21.960239999999999,Proposed,Yeywa (middle),"2020",DAM0078,./0.png
97.046741,22.254093,1270.00000,"127","130","230",4.20000,Shwesaryan,"395",Above ground,RCC,26.90000,,54.00000,"196","145","6",S,Kyautme,"280",1.000000000000000,0,"97",0.320000000000000,,0.00000,"0.57","280",Sole Investment,"1628",,17.100000000000001,Pyinoolwin,371.000000000000000,MoEE,Lower Myitnge,Construction,Shan,Ayeyarwady,11700.00000,"21700",Myitnge,"1409","280","341",,Lower Myitnge,HP,Myanmar,97.046740999999997,22.254093000000001,UC,Yeywa (upper),"2019",DAM0079,./0.png
97.521257,19.131059,,"5325",,,4.80000,,"215",Power House At Dam Toe,RCC Gravity Dam,43.50000,"11900",130.00000,"3330","7427","11",S,Ywathit,"400",0.100000000000000,3600,"167",0.330000000000000,,0.00000,"0.73","4000",Foreign JV/BOT,,,16.300000000000001,Bawlake,3400.000000000000000,CDOI/STH,Middle Thanlwin,MOA,Kayah,Thanlwin,107222.00000,"208984",Thanlwin Mainstem,"25519","4000","10757",,Thanlwin Mainstem,HP,PRC/MYA,97.521257000000006,19.131059000000000,Proposed,Ywathit,"2030",DAM0275,./0.png
96.19898,17.755818,,,"73","66",,Kamarnat,"65",,Embankment,14.90000,,18.50000,"302","105","61",S,Bago,"20",1.000000000000000,0,"45",0.070000000000000,,0.00000,"0.43","20",Sole Investment,"3151",,51.899999999999999,Bago,57.000000000000000,MoEE,Bago,Built,Bago,Myit Mo Hka & Bago,1798.00000,"1098",Bago,"76","20","407",,Bago River,HP,Myanmar,96.198980000000006,17.755818000000001,Complete,Zaungtu,"2000",DAM0081,./0.png
96.90147,21.3833,,,"76","66",,Aungthapye,"833",Above ground,,0.00000,,0.00000,"0","0","0",RoR,Yaksauk,"18",1.000000000000000,0,"-",0.160000000000000,,1.70000,"0.22","18",Sole Investment,"1185",,21.300000000000001,Taunggyi,30.000000000000000,MoEE,Zawgyi/Myogyi,Built,Shan,Ayeyarwady,946.00000,"1406",Myitnge,"35","18","-",,Zawgyi River,HP,Myanmar,96.901470000000003,21.383299999999998,Complete,Zawgyi I,"1995",DAM0082,./0.png
96.8726,21.5648,,,"23","66",,Zawgyi1,"653",Above ground,Earth,38.50000,,8.20000,"516","123","139",S,Yaksauk,"12",1.000000000000000,0,"44",0.160000000000000,,0.00000,"0.29","12",Sole Investment,"1185",,22.399999999999999,Taunggyi,42.799999999999997,MoEE/MOALI,Zawgyi/Myogyi,Built,Shan,Ayeyarwady,1350.00000,"1907",Myitnge,"30","12","639",,Zawgyi River,MP,Myanmar,96.872600000000006,21.564800000000002,Complete,Zawgyi II,"2011",DAM0083,./0.png
97.6135,24.98458,,,,,,,,,,,,,,,,ROR,Waingmaw,"11",1.000000000000000,0,,0.200000000000000,,5.70000,"0.58","11",Local BOT,"1828",,49.000000000000000,Myitkyina,14.199999999999999,Buga Co.,Mali Creek,Built,Kachin,Ayeyarwady,448.00000,"290",Mali Creek,"54","11",,Uncertain what kind of dam this is.,Mali Creek,HP,Myanmar,97.613500000000002,24.984580000000001,Complete,Mali,"2006",DAM0084,./0.png
97.650627,25.119755,2500.00000,"108",,,7.10000,,"476",Above ground,CG,,"600",2.60000,,,,ROR,Waingmaw,,,,"27",0.200000000000000,,10.00000,"0.5","144",Foreign JV/BOT,"1910",,62.100000000000001,Myitkyina,80.000000000000000,China Guodian/Tun Thwin Mining),Namtabak,MOA,Kachin,Ayeyarwady,2523.00000,"1289",Namtabak,"635","144",,,Namtamhpak,HP,PRC/MYA,97.650627000000000,25.119755000000001,Proposed,Nam Tabak II,"2027",DAM0157,./0.png
99.375,20.662222,,,,,,,,,,,"100",,,,,,,"30",,30,,0.150000000000000,,0.00000,,"30",Local BOT,"1368",,13.400000000000000,Mong Hsat,21.199999999999999,Suntac Power Co.,Nam Hkoke,LocMoU,Shan,Mekong,669.00000,"1284",Nam Hkoke,,"30",,,Nam Hkoke,HP,Myanmar,99.375000000000000,20.662222000000000,Proposed,Mong Hsat,,DAM0086,./0.png
96.52987,26.309687,,,,,,,,,,,"200",,,,,,,,,,,,,,,,,"3018",,86.799999999999997,Myitkyina,6.600000000000000,,Chindwin Headwater 2,Identified,Kachin,Chindwin,208.00000,"76",Chindwin Headwater 2,,"50",,,Nam Lanog Hka,,,96.529870000000003,26.309687000000000,Identified Sites,Tawog Hka,,DAM0087,./0.png
96.46829,26.718029,,,,,,,,,,,"600",,,,,,,,,,,,,,,,,"2957",,95.700000000000003,Myitkyina,463.000000000000000,,Chindwin Headwater 1,Identified,Kachin,Chindwin,14601.00000,"4837",Chindwin Headwater 1,,"150",,,Ta Rung Hka,,,96.468289999999996,26.718029000000001,Identified Sites,Ta Rung Hka,,DAM0088,./0.png
96.95008,26.294175,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"3018",,80.200000000000003,Myitkyina,168.000000000000000,,Chindwin Headwater 2,Identified,Kachin,Chindwin,5298.00000,"2095",Chindwin Headwater 2,,"15",,,Ta Nai Hka,,,96.950080000000000,26.294174999999999,Identified Sites,Ta Nai Hka,,DAM0089,./0.png
96.719624,18.938587,,,,,,,,,,,"600",,,,,,,,,,,,,,,,,"2081",,22.199999999999999,,36.000000000000000,,Other Sittaung,Identified,Kayin,Sittaung,1135.00000,"1621",Other Sittaung,,"150",,,Thauk Ye Khat,,,96.719623999999996,18.938586999999998,Identified Sites,Thauk Ye Khat 1,,DAM0090,./0.png
97.34081,18.29496,,,,,,,,,,,"400",,,,,,,,,,,,,,,,,"1709",,29.300000000000001,Panan,40.000000000000000,,Yunzalin HPP,Identified,Kayin,Thanlwin,1261.00000,"1365",Yunzalin,,"100",,,,,,97.340810000000005,18.294960000000000,Identified Sites,Yunzalin,,DAM0091,./0.png
98.348758,16.305021,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"3137",,45.700000000000003,Kawareik,3.700000000000000,,Lam Pha HPP,Identified,Kayin,Thanlwin,117.00000,"81",Lam Pha,,"20",,,Lam Pha,,,98.348758000000004,16.305021000000000,Identified Sites,Lam Pha,,DAM0092,./0.png
93.073495,21.334187,,,,,,,,,,,"800",,,,,,,,,,,,,,,,,"2665",,,Mindat,,,Kaladan,Identified,Chin,Rakhine,0.00000,"1296",Kaladan,,"200",,,Mi Chaung,,,93.073494999999994,21.334187000000000,Identified Sites,Mi Chaung,,DAM0093,./0.png
95.294431,24.865948,,,,,,,,,,,"50",,,,,,,,,,,,,,,,,"2187",,66.200000000000003,Hkamti,629.000000000000000,,Uyu,Identified,Sagaing,Chindwin,19836.00000,"9495",Uyu,,"12",,,Uyu,,,95.294431000000003,24.865947999999999,Identified Sites,U Yu Chaung,,DAM0094,./0.png
99.331205,11.769949,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"2123",,17.600000000000001,Myeik,22.000000000000000,,Tanintharyi,Identified,Tanintharyi,Tanintharyi,694.00000,"1248",Tanintharyi,,"25",,,Thein Kun,,,99.331204999999997,11.769949000000000,Identified Sites,Thein Kun Chaung,,DAM0095,./0.png
99.227161,12.132896,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"2123",,32.600000000000001,,36.000000000000000,,Tanintharyi,Identified,Tanintharyi,Tanintharyi,1135.00000,"1104",Tanintharyi,,"20",,,Tha Gyet,,,99.227160999999995,12.132896000000001,Identified Sites,Tha Gyet Chaung,,DAM0096,./0.png
98.858324,10.775209,,,,,,,,,,,"200",,,,,,,,,,,,,,,,,"2942",,45.000000000000000,,2.700000000000000,,Glohong Kra HPP,Identified,Tanintharyi,Tanintharyi,85.00000,"60",Glohong Kra,,"40",,,Glohong Kra,,,98.858323999999996,10.775209000000000,Identified Sites,Glohong Kra,,DAM0097,./0.png
97.915769,15.682011,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,"3818",,87.099999999999994,Kawareik,2.700000000000000,,Myet Taw Chaung HPP,Identified,Kayin,Thanlwin,85.00000,"31",Myet Taw Chaung,,"10",,,Myet Taw Chaung,,,97.915768999999997,15.682010999999999,Identified Sites,Myet Taw Chaung,,DAM0098,./0.png
94.712866,19.37089,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"1385",,35.500000000000000,Thayet,24.000000000000000,,Mindon HPP,Identified,Magway,Ayeyarwady,757.00000,"676",Mindon,,"18",,,,,,94.712866000000005,19.370889999999999,Identified Sites,Mindon,,DAM0099,./0.png
94.493902,18.386144,,,,,,,,,,,"200",,,,,,Thandwe,,,,,,,,"0.31",,,"2665",,,Thandwe,,,Than Dwe HPP,Identified,Rakhine,Rakhine,0.00000,"738",Than Dwe,"105","39",,,Than Dwe,,,94.493902000000006,18.386144000000002,Identified Sites,Than Dwe,,DAM0100,./0.png
94.576508,17.950012,,,,,,,,,,,"100",,,,,,,,,,,,,,"0.62",,,"2665",,,,,,Kyein Ta Li HPP,Identified,Rakhine,Rakhine,0.00000,"880",Kyein Ta Li,"151","28",,,Kyein Ta Li,,,94.576508000000004,17.950012000000001,Identified Sites,Kyein Ta Li,,DAM0101,./0.png
99.34667,20.196337,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,"1368",,15.699999999999999,Mong Hsat,43.000000000000000,,Nam Hkoke,Identified,Shan,Mekong,1356.00000,"2736",Nam Hkoke,,"30",,,Nam Hkoke,,,99.346670000000003,20.196337000000000,Identified Sites,Nam Hkok,,DAM0102,./0.png
92.652188,20.893779,,,,,,,,,,,"300",,,,,,BuuTheeTaung,,,,,,,,"0.35","77",,"4428",,,,,,Saing Din Creeek,Identified,Rakhine,Rakhine,0.00000,"926",Saing Din Creek,"236","77",,,,,,92.652187999999995,20.893778999999999,Identified Sites,Saing Din,,DAM0103,./0.png
98.98167,12.829406,,,,,,,,,,,"50",,,,,,,,,,,,,,,,,"2123",,46.000000000000000,,72.000000000000000,,Tanintharyi,Identified,Tanintharyi,Tanintharyi,2271.00000,"1565",Tanintharyi,,"11",,,,,,98.981669999999994,12.829406000000001,Identified Sites,Sar Ra Wa Chaung,,DAM0104,./0.png
95.796146,18.362836,,,,,,,,,,,,,,,,,,,,,,,277.000000000000000,,,,,,10.73000,,,,,,,,,,,,n/a,n/a,"120.56",Google Earth visible. DoI/MoAI Data.,Bawbin,IRR,MYN,95.796145999999993,18.362836000000001,Complete,Bawbin,"2002",DAM0105,./0.png
95.528459,19.313794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a,,Google Earth visible. DoI/MoAI Data.,,IRR,MYN,95.528458999999998,19.313794000000001,Complete,Bewt Gyi,,DAM0106,./0.png
96.035673,17.376582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20000,,,,,,,,,,,,n/a,n/a,"75",Google Earth visible. DoI/MoAI Data.,Gyobyu Chaung,WS,MYN,96.035673000000003,17.376581999999999,Complete,Gyobyu,"1940",DAM0111,./0.png
94.580082,21.999294,,,,,,,,,,,,,,,,,,,,,,,1371.533069000000069,,,,,,1.38000,,,,,,,,,,,,n/a,n/a,"6.624",Google Earth visible. DoI/MoAI Data.,,IRR,MYN,94.580082000000004,21.999293999999999,Complete,Hlaing Chaung,"2006",DAM0113,./0.png
96.11125,16.97279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.40000,,,,,,,,,,,,n/a,n/a,"54",Google Earth visible. DoI/MoAI Data.,,WS,MYN,96.111249999999998,16.972790000000000,Complete,Hlaw Ga,,DAM0114,./0.png
95.257973,22.159941,,,,,,,,,,,,,,,,,,,,,,,335.263639099999978,,,,,,0.54000,,,,,,,,,,,,n/a,n/a,"3.454",Google Earth visible. DoI/MoAI Data.,Htanzaloke,IRR,MYN,95.257973000000007,22.159941000000000,Complete,Htanzaloke,"1996",DAM0115,./0.png
96.135034,16.838848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a,,Google Earth visible. DoI/MoAI Data.,,WS,MYN,96.135034000000005,16.838847999999999,Complete,Inya,"1883",DAM0116,./0.png
95.308665,19.043285,,,,,,,,,,,,,,,,,,,,,,,869.000000000000000,,,,,,2.02000,,,,,,,,,,,,n/a,n/a,"7.53",Google Earth visible. DoI/MoAI Data.,In Yone,IRR,MYN,95.308665000000005,19.043285000000001,Complete,Kanggyigone,"2000",DAM0117,./0.png
95.887794,17.9571,,,,,,,,,,,,,,,,,,,,,,,335.000000000000000,,,,,,27.00000,,,,,,,,,,,,n/a,n/a,"165.36",Google Earth visible. DoI/MoAI Data.,Kantin-BeeLin,IRR,MYN,95.887794000000000,17.957100000000001,Complete,Kantin-BeeLin,"2002",DAM0118,./0.png
